Country/Region,ObservationDate,SNo,Deaths,date_sec
Austria,4/7/2020,12576,243,1586217600
Austria,4/8/2020,12896,273,1586304000
Austria,4/9/2020,13216,295,1586390400
Azerbaijan,3/1/2020,2892,0,1583020800
Azerbaijan,3/10/2020,4618,0,1583798400
Azerbaijan,3/11/2020,4831,0,1583884800
Azerbaijan,3/12/2020,5060,0,1583971200
Azerbaijan,3/13/2020,5248,1,1584057600
Azerbaijan,3/14/2020,5528,1,1584144000
Azerbaijan,3/15/2020,5783,1,1584230400
Azerbaijan,3/16/2020,6055,1,1584316800
Azerbaijan,3/17/2020,6313,1,1584403200
Azerbaijan,3/18/2020,6599,1,1584489600
Azerbaijan,3/19/2020,6874,1,1584576000
Azerbaijan,3/2/2020,3025,0,1583107200
Azerbaijan,3/20/2020,7179,1,1584662400
Azerbaijan,3/21/2020,7476,1,1584748800
Azerbaijan,3/22/2020,7627,1,1584835200
Azerbaijan,3/23/2020,7925,1,1584921600
Azerbaijan,3/24/2020,8219,1,1585008000
Azerbaijan,3/25/2020,8517,2,1585094400
Azerbaijan,3/26/2020,8819,3,1585180800
Azerbaijan,3/27/2020,9125,3,1585267200
Azerbaijan,3/28/2020,9432,4,1585353600
Azerbaijan,3/29/2020,9743,4,1585440000
Azerbaijan,3/3/2020,3168,0,1583193600
Azerbaijan,3/30/2020,10054,4,1585526400
Azerbaijan,3/31/2020,10366,5,1585612800
Azerbaijan,3/4/2020,3327,0,1583280000
Azerbaijan,3/5/2020,3478,0,1583366400
Azerbaijan,3/6/2020,3661,0,1583452800
Azerbaijan,3/7/2020,3857,0,1583539200
Azerbaijan,3/8/2020,4092,0,1583625600
Azerbaijan,3/9/2020,4348,0,1583712000
Azerbaijan,4/1/2020,10679,5,1585699200
Azerbaijan,4/10/2020,13537,10,1586476800
Azerbaijan,4/11/2020,13858,11,1586563200
Azerbaijan,4/12/2020,14179,11,1586649600
Azerbaijan,4/13/2020,14499,12,1586736000
Azerbaijan,4/14/2020,14819,13,1586822400
Azerbaijan,4/15/2020,15139,13,1586908800
Azerbaijan,4/16/2020,15459,15,1586995200
Azerbaijan,4/17/2020,15779,15,1587081600
Azerbaijan,4/18/2020,16099,18,1587168000
Azerbaijan,4/19/2020,16419,19,1587254400
Azerbaijan,4/2/2020,10992,5,1585785600
Azerbaijan,4/20/2020,16739,19,1587340800
Azerbaijan,4/21/2020,17059,20,1587427200
Azerbaijan,4/22/2020,17379,20,1587513600
Azerbaijan,4/23/2020,17698,20,1587600000
Azerbaijan,4/3/2020,11307,5,1585872000
Azerbaijan,4/4/2020,11622,5,1585958400
Azerbaijan,4/5/2020,11938,7,1586044800
Azerbaijan,4/6/2020,12257,7,1586131200
Azerbaijan,4/7/2020,12577,8,1586217600
Azerbaijan,4/8/2020,12897,8,1586304000
Azerbaijan,4/9/2020,13217,9,1586390400
Bahamas,3/22/2020,7628,0,1584835200
Bahamas,3/23/2020,7926,0,1584921600
Bahamas,3/24/2020,8220,0,1585008000
