ObservationDate,SNo,Confirmed,Deaths,Recovered,log_Confirmed,log_Deaths,log_Recovered,date_sec
05/09/2020,23066,1044.0,4.0,967.0,3.0187004986662433,0.6020599913279624,2.9854264740830017,1588982400
05/10/2020,23389,1047.0,4.0,982.0,3.0199466816788423,0.6020599913279624,2.9921114877869495,1589068800
05/11/2020,23712,1047.0,4.0,985.0,3.0199466816788423,0.6020599913279624,2.9934362304976116,1589155200
05/12/2020,24035,1047.0,4.0,991.0,3.0199466816788423,0.6020599913279624,2.9960736544852753,1589241600
05/13/2020,24359,1050.0,4.0,1008.0,3.0211892990699383,0.6020599913279624,3.0034605321095067,1589328000
05/14/2020,24706,1051.0,4.0,1009.0,3.021602716028242,0.6020599913279624,3.0038911662369103,1589414400
05/15/2020,25083,1052.0,4.0,1019.0,3.02201573981772,0.6020599913279624,3.0081741840064264,1589500800
05/16/2020,25460,1052.0,4.0,1022.0,3.02201573981772,0.6020599913279624,3.009450895798694,1589587200
05/17/2020,25837,1055.0,4.0,1024.0,3.0232524596337114,0.6020599913279624,3.010299956639812,1589673600
05/18/2020,26214,1055.0,4.0,1025.0,3.0232524596337114,0.6020599913279624,3.010723865391773,1589760000
03/15/2020,5748,32.0,1.0,1.0,1.505149978319906,0.0,0.0,1584230400
03/16/2020,6012,39.0,1.0,1.0,1.591064607026499,0.0,0.0,1584316800
03/17/2020,6288,50.0,1.0,2.0,1.6989700043360187,0.0,0.3010299956639812,1584403200
03/18/2020,6565,58.0,1.0,2.0,1.7634279935629373,0.0,0.3010299956639812,1584489600
03/19/2020,6852,73.0,1.0,2.0,1.863322860120456,0.0,0.3010299956639812,1584576000
03/20/2020,7142,85.0,3.0,2.0,1.9294189257142926,0.47712125471966244,0.3010299956639812,1584662400
03/21/2020,7443,103.0,4.0,7.0,2.012837224705172,0.6020599913279624,0.8450980400142568,1584748800
03/22/2020,7684,131.0,6.0,16.0,2.1172712956557644,0.7781512503836436,1.2041199826559248,1584835200
03/23/2020,7982,167.0,7.0,16.0,2.2227164711475833,0.8450980400142568,1.2041199826559248,1584921600
03/24/2020,8277,187.0,9.0,21.0,2.271841606536499,0.9542425094393249,1.3222192947339193,1585008000
03/25/2020,8577,226.0,10.0,21.0,2.3541084391474008,1.0,1.3222192947339193,1585094400
03/26/2020,8879,261.0,10.0,28.0,2.416640507338281,1.0,1.4471580313422192,1585180800
03/27/2020,9186,300.0,10.0,34.0,2.4771212547196626,1.0,1.5314789170422551,1585267200
03/28/2020,9493,343.0,11.0,34.0,2.5352941200427703,1.0413926851582251,1.5314789170422551,1585353600
03/29/2020,9804,408.0,13.0,34.0,2.61066016308988,1.1139433523068367,1.5314789170422551,1585440000
03/30/2020,10116,447.0,15.0,34.0,2.6503075231319366,1.1760912590556813,1.5314789170422551,1585526400
03/31/2020,10429,492.0,16.0,37.0,2.69196510276736,1.2041199826559248,1.568201724066995,1585612800
04/01/2020,10742,525.0,20.0,40.0,2.720159303405957,1.3010299956639813,1.6020599913279623,1585699200
04/02/2020,11055,585.0,21.0,42.0,2.7671558660821804,1.3222192947339193,1.6232492903979006,1585785600
04/03/2020,11370,623.0,26.0,43.0,2.7944880466591697,1.414973347970818,1.6334684555795864,1585872000
04/04/2020,11685,678.0,32.0,58.0,2.8312296938670634,1.505149978319906,1.7634279935629373,1585958400
04/05/2020,12001,733.0,34.0,66.0,2.8651039746411278,1.5314789170422551,1.8195439355418688,1586044800
04/06/2020,12320,744.0,38.0,67.0,2.8715729355458786,1.5797835966168101,1.8260748027008264,1586131200
04/07/2020,12640,817.0,47.0,71.0,2.9122220565324155,1.6720978579357175,1.8512583487190752,1586217600
04/08/2020,12960,895.0,58.0,94.0,2.951823035315912,1.7634279935629373,1.9731278535996986,1586304000
04/09/2020,13280,980.0,66.0,96.0,2.9912260756924947,1.8195439355418688,1.9822712330395684,1586390400
04/10/2020,13600,1190.0,77.0,112.0,3.0755469613925306,1.8864907251724818,2.0492180226701815,1586476800
04/11/2020,13921,1310.0,85.0,115.0,3.1172712956557644,1.9294189257142926,2.060697840353612,1586563200
04/12/2020,14242,1410.0,99.0,118.0,3.1492191126553797,1.99563519459755,2.0718820073061255,1586649600
04/13/2020,14562,1458.0,109.0,120.0,3.163757523981956,2.037426497940624,2.0791812460476247,1586736000
04/14/2020,14882,1512.0,122.0,122.0,3.1795517911651876,2.0863598306747484,2.0863598306747484,1586822400
04/15/2020,15202,1579.0,134.0,192.0,3.1983821300082944,2.1271047983648077,2.2833012287035497,1586908800
04/16/2020,15522,1652.0,142.0,199.0,3.218010042984363,2.1522883443830563,2.298853076409707,1586995200
04/17/2020,15842,1763.0,156.0,207.0,3.246252312299322,2.1931245983544616,2.315970345456918,1587081600
04/18/2020,16162,1834.0,172.0,231.0,3.263399331334002,2.2355284469075487,2.3636119798921444,1587168000
04/19/2020,16482,1916.0,189.0,250.0,3.2823955047425257,2.2764618041732443,2.3979400086720375,1587254400
04/20/2020,16802,1984.0,199.0,267.0,3.2975416678181597,2.298853076409707,2.4265112613645754,1587340800
04/21/2020,17122,2098.0,213.0,287.0,3.3218054838575393,2.3283796034387376,2.4578818967339924,1587427200
04/22/2020,17442,2168.0,225.0,295.0,3.336059277866349,2.3521825181113627,2.469822015978163,1587513600
04/23/2020,17761,2284.0,239.0,390.0,3.3586960995738107,2.3783979009481375,2.591064607026499,1587600000
04/24/2020,18081,2443.0,262.0,458.0,3.3879234669734366,2.4183012913197452,2.660865478003869,1587686400
04/25/2020,18400,2443.0,262.0,458.0,3.3879234669734366,2.4183012913197452,2.660865478003869,1587772800
04/26/2020,18719,2500.0,272.0,485.0,3.3979400086720375,2.4345689040341987,2.6857417386022635,1587859200
04/27/2020,19038,2583.0,280.0,498.0,3.412124406173317,2.4471580313422194,2.6972293427597176,1587945600
04/28/2020,19359,2649.0,291.0,516.0,3.423081958297231,2.4638929889859074,2.7126497016272113,1588032000
04/29/2020,19680,2727.0,300.0,536.0,3.43568513794163,2.4771212547196626,2.72916478969277,1588118400
04/30/2020,20002,2775.0,312.0,581.0,3.443262987458695,2.494154594018443,2.7641761323903307,1588204800
05/01/2020,20325,2863.0,323.0,609.0,3.456821348021599,2.509202522331103,2.784617292632875,1588291200
05/02/2020,20648,2942.0,335.0,625.0,3.4686426683915115,2.525044807036845,2.7958800173440754,1588377600
05/03/2020,20971,2998.0,340.0,629.0,3.4768316285122607,2.531478917042255,2.798650645445269,1588464000
05/04/2020,21294,3035.0,351.0,630.0,3.482158695411276,2.545307116465824,2.7993405494535817,1588550400
05/05/2020,21617,3065.0,363.0,709.0,3.486430478854434,2.5599066250361124,2.8506462351830666,1588636800
05/06/2020,21940,3111.0,373.0,759.0,3.4929000111087034,2.571708831808688,2.88024177589548,1588723200
05/07/2020,22263,3150.0,383.0,801.0,3.4983105537896004,2.583198773968623,2.9036325160842376,1588809600
05/08/2020,22586,3178.0,392.0,865.0,3.5021538928713607,2.593286067020457,2.9370161074648142,1588896000
05/09/2020,22909,3213.0,405.0,904.0,3.506910725551518,2.6074550232146687,2.9561684304753633,1588982400
